time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
35.77,12.1253758281561,-3.06205278291486,-2.26824528888148,-19.2048650579825,13.2210155654892,-0.806973751215771,48.7413041169454,-2.03179326726418,-7.53172228971268,-83.3034908473984,25.2805129999536,5.33110689192473
35.775,11.8439826279665,-3.33000138631489,-2.22726979446696,-18.7875519140757,13.1538097832485,-0.779532878845801,49.1657639272591,-1.85014834529036,-7.66840855930363,-82.5795594199331,25.3959717067935,5.57674128731598
35.78,11.5793261862792,-3.59149973966141,-2.19032622495909,-18.4004046242275,13.1000382768253,-0.749261572234185,49.566544120675,-1.67141086690838,-7.79664235958937,-81.8207245429341,25.5007041613456,5.79719528127813
35.785,11.3313448285026,-3.8457941314287,-2.15596302192145,-18.043602624124,13.0592638465691,-0.717754396240373,49.9431475709695,-1.49536548874901,-7.91574350557749,-81.0314599287638,25.5938741621281,5.99420773822755
35.79,11.0998178770455,-4.09216207801128,-2.12275544725729,-17.7171449798152,13.031008882736,-0.686657674304562,50.29513070927,-1.32179056819225,-8.02508184069318,-80.2163920049659,25.6747472396421,6.16986701984434
35.795,10.8843572300036,-4.32992241757899,-2.08933916543585,-17.4208473280653,13.0147680966931,-0.65763054825667,50.6221031909553,-1.15045844796521,-8.12409252155099,-79.3802716360428,25.7427086440188,6.32648637380709
35.8,10.6844020280249,-4.55844655659576,-2.05444371235961,-17.1543403462918,13.0100202128057,-0.632304506522112,50.9237278180422,-0.981134523472843,-8.21229068920014,-78.5279419050117,25.7972773781442,6.46647911046844
35.805,10.4992167425637,-4.7771705770697,-2.01692507524474,-16.9170698874511,13.0162381367666,-0.612242248201235,51.1997208596927,-0.813575284071928,-8.28928505277428,-77.6643022717961,25.8381163281624,6.592237471658
35.81,10.3278929578271,-4.9856078476187,-1.97579657075158,-16.7082989188557,13.032897145325,-0.598896798135108,51.4498528804616,-0.647525577256129,-8.35478992860186,-76.7942695249047,25.8650386530604,6.70601885863654
35.815,10.1693550477983,-5.18336172677823,-1.93025718957207,-16.527111401916,13.0594806881502,-0.593571813726256,51.6739501484618,-0.482715392784366,-8.40863531145424,-75.9227360358932,25.8780106874725,6.80984274655662
