time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
35.315,-0.257436616160931,0.0813247508949657,0.00568270569170878,-0.371823152461155,0.0277931602273915,-0.0132662135069953,-0.408207145711314,-0.200654076753816,-0.0243968650784946,-0.265700295857382,-0.929274897048854,0.393657737479939
35.32,-0.269709682142447,0.0828211910493228,0.00566904150306731,-0.381818580248938,0.024975429810037,-0.0124505355781263,-0.401806210916202,-0.207794956264965,-0.0241560719576152,-0.271247696872025,-0.968758544677624,0.409922199242432
35.325,-0.283348212892566,0.0843029826804672,0.00548192548636485,-0.388867012902998,0.02045513647194,-0.0110534216357134,-0.394246959721639,-0.214378521844411,-0.0238705543423345,-0.276405658851955,-1.0094960605061,0.426531726824697
35.33,-0.298547686007023,0.0857754972552056,0.00512438769585861,-0.392692407482257,0.0140366438637504,-0.00901091924293368,-0.385682500117215,-0.220141720082967,-0.0235548425162639,-0.281154217518532,-1.05104600744931,0.443294324084512
35.335,-0.315442663352542,0.0872171393974044,0.00461264840567786,-0.393018825009097,0.00554236435219951,-0.00626487782253282,-0.376298195826725,-0.224820158236905,-0.0232256199418497,-0.285478304306242,-1.09290977016597,0.459997124652053
35.34,-0.334099122282743,0.0885765873903429,0.00397717961480623,-0.389574848271636,-0.0051824085460348,-0.00276464754725816,-0.366305522603311,-0.228154012934953,-0.0229015078126278,-0.289367785062893,-1.13453660388288,0.476409095826626
35.345,-0.354509620550409,0.0897713440848968,0.00326321745333203,-0.382098982377536,-0.0182650455029822,0.00153133060927812,-0.355934737790094,-0.229894271204433,-0.0226027396676079,-0.292817307371063,-1.17533037865147,0.49228439393159
35.35,-0.376591703605938,0.0906878210428877,0.00253063484653825,-0.37034602259566,-0.0338016501398395,0.00665409939193081,-0.345426578882877,-0.229809166876104,-0.0223507254101267,-0.295825964665495,-1.21465797190676,0.507366325457292
35.355,-0.400189819513394,0.0911831178839489,0.00185310697421017,-0.354094316644176,-0.051853783156624,0.0126229763892557,-0.335023254896331,-0.227690659183357,-0.0221675088049816,-0.298396791126778,-1.25185921509058,0.5213918483916
35.36,-0.425080829882433,0.0910885762394372,0.00131653403994581,-0.333153780630678,-0.0724459538369007,0.0194446075818196,-0.324959036508304,-0.223360788043394,-0.0220751277006704,-0.30053610780316,-1.28625825210963,0.534096528847348
